"filename", "language", "Java", "comment", "blank", "total"
"c:\Users\Admin\Desktop\monkeyapp\myapp\src\main\java\com\thaimei\myapp\service\UserService.java", "Java", 4, 0, 2, 6
"Total", "-", 4, 0, 2, 6
